開學	kai1//xue2	verb school opens; term begins 九月一日開學。 Jiǔyuè yī rì kāixué. The term will begin on September 1.
出問題	chu1 wen4ti2	go wrong; go amiss
一方面	yi1fang1mian4	noun one side 這只是事情的一方面。 Zhè zhǐ shìshìqing de yī fāngmiàn. This is only one side of the matter.  conjunction on the one hand..., on the other hand...; for one thing..., for another... 他們一方面很想去醫院看望班長, 一方面又怕影響他休息。 Tāmen yī fāngmiàn hěn xiǎng qù yīyuàn kànwàng bānzhǎng, yī fāngmiàn yòu pà yǐngxiǎng tā xiūxi. On the one hand, they wanted very much to visit their squad leader in hospital; on the other hand, they didn’t want to disturb his rest. 這場球打輸了, 一方面是由於對方實力較強, 另一方面也是因為我們沒有配合好。 Zhè chǎng qiú dǎ shū le,  yī fāngmiàn shì yóuyú duìfāng shílì jiào qiáng, lìngyīfāngmiàn yě shì yīnwèi wǒmen méiyǒu pèihé hǎo. We lost the game because, for one thing, our opponents were quite strong and, for another, our teamwork was poor.
安靜	an1jing4	adjective quiet; peaceful; silent; calm 安靜的環境 Ānjìng de huánjìng tranquil surroundings 絕對安靜 juéduì ānjìng absolutely quiet 使啼哭的嬰兒安靜下來 shǐ tíkū de yīng'ér ānjìng xiàlai pacify a crying baby 將手指貼近嘴唇以示安靜 jiāng shǒuzhǐ tiējìn zuǐchún yǐ shì ānjìng place a finger to one’s lips to signal silence 保持安靜！ Bǎochí ānjìng! Silence! 病人需要安靜。 Bìngrén xūyào ānjìng. The patient needs peace and quiet. 周圍安安靜靜的。 Everything around was still and quiet. or All is quiet. 大幕一拉開, 觀眾頓時安靜下來。 Dà mù yī lākai, guānzhòng dùnshí ānjìng xiàlai. As soon as the curtain rose, the audience quieted down.  verb quiet down 大幕一拉開, 觀眾頓時安靜下來。 Dà mù yī lākai, guānzhòng dùnshí ānjìng xiàlai. As soon as the curtain rose, the audience quieted down.
// 3.7 - 1
親	qin1	noun 1 parent 雙親 shuāngqīn (both) parents 2 relative 近親 jìnqīn close relative 3 marriage; match 說親 shuōqīn act as matchmaker 4 bride 迎親 yíngqīn (of the bridegroom) send a party to meet the bride at the bride’s home and escort her to the bridegroom’s home for the wedding  verb 1 kiss 她親了親孩子的臉。 Tā qīn le qīn háizi de liǎn. She kissed the child on the cheek. 2 (of countries, parties, etc.) in favour of; supporting 親美 qīn Měi pro-American  adjective 1 close; intimate; dear (opp. 疏) 我和大姐最親。 Wǒ hé dàjiě zuì qīn. My eldest sister is very dear to me. 2 of blood relation; related by blood 親爹 qīndiē one’s birth (or biological) father 親娘 qīnniáng one’s birth (or biological) mother 親兄弟 qīnxiōngdì blood brothers 3 in person; oneself See 28521728親眼qin1yan3親眼
爺爺	ye2ye5	noun colloquial 1 (paternal) grandfather 2 [respectful form of addressing any old man] grandpa
鄰居	lin2ju1	noun neighbour
狗	gou3	noun 1 dog 2 vulgar damned; cursed 狗東西 gǒu dōngxi that son of a bitch
叫	jiao4	verb 1 cry; shout 大叫一聲 dà jiào yī shēng give a loud cry; shout; cry out loudly 2 call; greet 外邊有人叫你。 Wàibian yǒu rén jiào nǐ. Somebody outside is calling you. 這孩子很靦腆, 不愛叫人。 Zhè háizi hěn miǎntiǎn, bù ài jiào rén. The child is shy and doesn’t like to greet people. 3 hire; order 叫個出租車 jiào ge chūzūchē hire (or call) a taxi 叫一份外賣的比薩餅 jiào yī fèn wàimài de bǐsàbǐng order a takeaway pizza 4 name; call 人們叫他小張。 Rénmen jiào tā xiǎo zhāng. People call him Xiao Zhang. 他叫什麼名兒？ Tā jiào shénme míngr？ What’s his name? 這棉花長得真叫棒。 Zhè miánhua zhǎng de zhēn jiào bàng. That’s what I call a really good crop of cotton. 這能叫虛心接受批評嗎？ zhè néng jiào xūxīn jiēshòu pīpíng ma? Can this be called readiness to accept criticism?  adjective dialect male (animal) See 24034560叫驢jiao4lv2叫驢  verb 1 ask; order; tell 叫他進來嗎？ Jiào tā jìnlai ma？ Shall I ask him (to come) in? 醫生叫她臥床休息。 Yīshēng jiào tā wòchuáng xiūxi. The doctor told her to stay in bed. 2 permit; allow 他哥哥不叫他去。 Tā gēge bù jiào tā qù. His brother did not allow him to go.  preposition [in a passive sentence to introduce the doer of the action] 叫你猜著了。 Jiào nǐ cāizháo le. You’ve guessed right. 你叫雨淋濕了嗎？ Nǐ jiào yǔ lín shī le ma？ Did you get wet?
嗯	en5	interjection indicating approval, appreciation or agreement
奶奶	nai3nai5	noun 1 colloquial (paternal) grandmother; grandma 2 colloquial respectful form of address for an old woman 3 dialect young mistress of the house
過世	guo4//shi4	verb euphemistic die; pass away
領養	ling3yang3	verb 1 adopt (a child) 領養孤兒 lǐngyǎng gū'ér adopt an orphan 2 take responsibility for 領養綠地 lǐngyǎng lǜdì adopt a piece of afforested land
隻	zhi1	adjective single; one only See 36138752隻言片語zhi1yan2pian4yu3隻言片語  measure word [for boats, birds, certain animals, certain containers, and one of a pair] 兩隻手 liǎng zhī shǒu two hands 一隻船 yī zhī chuán a boat 兩隻喜鵲 liǎng zhī xǐque two magpies 三隻箱子 sān zhī xiāngzi three suitcases 一隻老虎 yī zhī lǎohǔ a tiger 一隻眼睛 yī zhī yǎnjing an eye
可愛	ke3ai4	adjective lovable; likable; lovely; adorable 可愛的祖國 kě'ài de zǔguó beloved motherland 這孩子真可愛！ Zhè háizi zhēn kě'ài! What a cute child!
孤單	gu1dan1	adjective 1 alone; lonely 孤單一人 gūdān yī rén a lone soul 感到孤單 gǎndào gūdān feel lonely 2 weak 力量孤單 lìliang gūdān weak and helpless
牠	ta1	pronoun it 這杯牛奶你喝了它。 Zhè bēi niúnǎi nǐ hē le tā. Drink up this glass of milk. 有個東西在黑影裡蹲著, 我也看不清它到底是貓還是狗。 Yǒu ge dōngxi zài hēiyǐng lǐ dūn zhe, wǒ yě kàn bù qīng tā dàodǐ shì māo háishi gǒu. Some animal was crouching in the shadow but I couldn’t make out whether it was a cat or a dog. 這些畫報我都看過了, 你把它拿去吧。 Zhèxiē huàbào wǒ dōu kàn guò le, nǐ bǎ tā ná qù ba. I’ve finished with these magazines, you can have them.  noun (Tā) a surname
髒	zang1	adjective dirty; filthy 髒水 zāngshuǐ filthy water; slops; sewage 髒衣服 Zāng yīfu dirty (or soiled) clothes; dirty linen 別把桌布弄髒了。 Bié bǎ zhuōbù nòng zāng le. Don’t soil the tablecloth.
洗澡	xi3//zao3	verb have (or take) a bath; bathe 我剛洗完澡。 Wǒ gāng xǐ wán zǎo. I’ve just had a bath.
養	yang3	noun accomplishment; cultivation 素養 sùyǎng accomplishment; attainment  verb 1 support; provide for 養家 yǎngjiā support a family 我從小沒了父母, 是姑姑把我養大的。 Wǒ cóngxiǎo méi le fùmǔ, shì gūgu bǎ wǒ yǎng dà de. I lost my parents when I was a child, and was brought up by my aunt. 2 raise; keep; grow 養花 yǎnghuā grow flowers 養雞 yǎngjī raise chickens 養鳥 yǎngniǎo keep pet birds 3 give birth to 她養了個男孩。 tā yǎng le ge nánhái. She gave birth to a boy. 4 form; acquire; cultivate 養成良好的習慣 yǎngchéng liánghǎo de xíguàn cultivate good habits 5 rest; convalesce; recuperate one's health; heal 養身體 yǎng shēntǐ recuperate 養肺滋腎 yǎng fèi zīshèn nourishing the lung and the kidney 養肝明目 yǎng gān míngmù nourishing the liver to improve visual acuity 你這回病得不輕, 應該好好養養。 Nǐ zhè huí bìng de bù qīng, yīnggāi hǎohāo yǎng yǎng. You’ve been seriously ill and should take a good rest. 6 let (one's hair) grow 7 maintain; keep in good repair 養路 yǎnglù maintain a road or railway 8 support; help 以農養牧 yǐ nóng yǎng mù use agriculture to support animal husbandry  adjective foster; adoptive 養父母 yǎngfù-mǔ foster parents
亂	luan4	noun 1 upheaval; riot; unrest; turmoil 內亂 nèiluàn civil strife 戰亂 zhànluàn chaos caused by war; war 2 disorder; disturbance; trouble 添亂兒 Tiān luàn r add confusion to sth. 當斷不斷, 反受其亂。 dāngduànbùduàn, fǎn shòu qí luàn. Being indecisive will lead to troubles. 3 archaic literature last paragraph of a musical composition or genre of classical Chinese poetry  verb throw into disorder; confuse; mix up 亂了方寸 luàn le fāngcùn put one’s mind in turmoil; be greatly agitated 亂了手腳 luànleshǒujiǎo throw sb. into disarray 君其遺之女樂, 以亂其政。(《韓非子》) Jūn qí wèi zhī nǚ yuè, yǐ luàn qí zhèng. (《Hán Fēi Zǐ》) You might send him some women musicians to throw his rule into disorder.  adjective 1 in disorder; in a mess; in confusion 全亂了 quán luàn le be in a utter (or wild) confusion 線亂了。 Xiàn luàn le. The thread is tangled. 車站很亂。 Chēzhàn hěn luàn. The station was in a state of disorder. 屋裡很亂, 請收拾一下。 wū lǐ hěn luàn, qǐng shōushi yīxià. The room is in a mess; please tidy it up. 這篇稿子太亂, 是不是重抄一下？ Zhè piān gǎozi tài luàn, shì bù shì zhòng chāo yīxià？ The manuscript’s too messy. How about copying it out? 這裡太亂, 找個安靜點兒的地方談談。 Zhèlǐ tài luàn, zhǎo ge ānjìng diǎnr de dìfang tán tán. It’s too noisy here; let’s find a quieter place to chat. 2 in a confused state of mind 我心裡很亂。 Wǒ xīnli hěn luàn. My mind is in turmoil. 3 (of a society) turbulent; riotous See 26311424亂世luan4shi4亂世 4 (of sexual relationships) improper; promiscuous 性亂行為 Xìng luàn xíngwéi sexual promiscuity  adverb indiscriminately; at random; arbitrarily 亂跑 luànpǎo run all over the place; dash about 亂扔 luànrēng tumble over 亂罰款 luàn fákuǎn impose unjustified fines 亂花錢 luànhuāqián spend money extravagantly 亂收費 luàn shōufèi collect fees arbitrarily 亂出主意 luàn chū zhǔyi give advice offhand 亂穿馬路 luànchuānmǎlù jaywalk 亂講一氣 luànjiǎng yī qì speak indiscreetly; make irresponsible remarks 亂作決定 luànzuòjuédìng make an arbitrary decision 他在牆上亂寫。 Tā zài qiáng shàng luàn xiě. He scribbled on the wall. 各種木料亂堆在一起。 Gèzhǒng mùliào luàn duī zài yīqǐ. Logs and planks of all shapes and sizes were jumbled together.
咬	yao3	verb 1 bite; snap at 咬不動 yǎobudòng too tough to bite (or chew) 咬一口 yǎo yī kǒu take a bite 咬嘴唇 yǎo zuǐchún bite one’s lips 2 grip; bite 這個舊螺母咬不住扣兒了。 Zhè ge jiù luómǔ yǎo bùzhù kòur le. This old nut won’t bite (or grip). 3 (of a dog) bark 雞叫狗咬 Jī jiào gǒu yǎo cocks crow and dogs bark 4 incriminate another person (usu. innocent) when blamed or interrogated 別咬好人。 Bié yǎo hǎorén. Don’t implicate the innocent. 5 dialect corrode (metals); irritate (the skin) 我最怕漆咬。 Wǒ zuì pà qī yǎo. I’m allergic to paint. or My skin is allergic to paint. 這把刀埋在地裡讓土咬了。 Zhè bǎ dāo mái zài dì lǐ ràng tǔ yǎo le. The knife had been buried in the ground and was corroded. 6 pronounce; articulate 這個字他咬不准。 Zhège zì tā yǎo bù zhǔn. He can’t pronounce this word correctly. 7 be nitpicking (about the use of words) See 34235136咬字眼兒yao3zi4yan3r5咬字眼兒 8 close in on; press on towards; advance on 雙方比分一直咬得很緊。 Shuāngfāng bǐfēn yīzhí yǎo de hěn jǐn. The score was very close throughout the match.
分手	fen1//shou3	verb 1 say good-bye; part 我們在車站分手。 Wǒmen zài chēzhàn fēnshǒu. We said good-bye to each other (or We parted) at the station. 2 part (company); end a friendship or relationship 他們因意見分歧而分手。 Tāmen yīn yìjian fēnqí ér fēnshǒu. They parted company due to a difference of opinion. 她剛和男友分手。 Tā gāng hé nányǒu fēnshǒu. She has just parted from her boyfriend. 3 break up
緊張	jin3zhang1	adjective 1 nervous; keyed up 神情緊張 Shénqíng jǐnzhāng look nervous; on edge 慢慢講, 別緊張。 Mànmàn jiǎng, bié jǐnzhāng. Speak slowly and don’t be nervous. 試驗到了關鍵時刻, 大家都緊張起來。 Shìyàn dào le guānjiàn shíkè, dàjiā dōu jǐnzhāng qǐlai. Everybody was keyed up as the experiment reached a crucial point. 2 tense; intense; strained 緊張局勢 jǐnzhāng júshì tense situation 緊張氣氛 jǐnzhāng qìfēn tense atmosphere 緊張的戰鬥 jǐnzhāng de zhàndòu intense fighting 緊張而有秩序的工作 jǐnzhāng ér yǒu zhìxù de gōngzuò intense but orderly work 緩和交通運輸的緊張狀況 Huǎnhé jiāotōng yùnshū de jǐnzhāng zhuàngkuàng relieve the pressure on transport 兩國關係緊張。 Liǎng guó guānxi jǐnzhāng. Relations between the two countries are strained. 這場比賽真緊張！ Zhè chǎng bǐsài zhēn jǐnzhāng! What an exciting game! 日程安排得太緊張。 Rìchéng ānpái de tài jǐnzhāng. It’s rather a tight schedule. 工程正在緊張地進行。 Gōngchéng zhèngzài jǐnzhāng de jìnxíng. Construction was in full swing. 3 in short supply; tight 這幾天汽油供應有點兒緊張。 zhè jǐ tiān qìyóu gōngyìng yǒudiǎnrjǐnzhāng. Gasoline has been in short supply for the last few days. 目前這裡住房相當緊張。 Mùqián zhèlǐ zhùfáng xiāngdāng jǐnzhāng. Accommodation here is pretty tight at present. or Housing here is in short supply now. 這裡只有一口井, 用水比較緊張。 Zhèlǐ zhǐ yǒu yī kǒu jǐng, yòng shuǐ bǐjiào jǐnzhāng. There’s only one well here and water is in great demand.
減輕	jian3qing1	verb lighten; ease; alleviate; mitigate (opp. 加重) 減輕處分 jiǎnqīng chǔfèn mitigate a punishment 減輕壓力 jiǎnqīng yālì relieve the pressure 減輕症狀 jiǎnqīng zhèngzhuàng lessen the symptoms 減輕罪行 jiǎnqīng zuìxíng extenuate a crime 減輕勞動強度 jiǎnqīng láodòng qiángdù reduce labour intensity 減輕農民負擔 jiǎnqīng nóngmín fùdān lighten the burden of farmers 減輕病人的痛苦 jiǎnqīng bìngrén de tòngkǔ alleviate (or ease) a patient’s suffering
送	song4	verb 1 deliver; carry 送信 sòngxìn deliver a letter 送餐上門服務 sòng cān shàngmén fúwù meals on wheels 送醫送藥上門 sòng yī sòng yào shàngmén deliver medical care right to the patient’s home 給我們送來好消息 gěi wǒmen sòng lái hǎo xiāoxi bring us good news 2 give as a present; give 送溫暖 sòng wēnnuǎn give (or show) care and concern 姐姐送我一本書。 Jiějie sòng wǒ yī běn shū. My sister gave me a book. 3 see sb. off (or out); accompany; escort 送她回家 Sòng tā huíjiā see her home 送孩子上學 Sòng háizi shàngxué take a child to school 送他上火車 sòng tā shàng huǒchē walk him onto the train 到車站送人 dào chēzhàn sòng rén see sb. off at the station 把客人送到門口 bǎ kèren sòng dào ménkǒu see a guest to the door; walk a guest to the gate 我送你一段路。 Wǒ sòng nǐ yī duàn lù. Let me walk with you a distance.
美容院	mei3rong2yuan4	beauty parlour; beauty shop
推車	tui1che1	push a cart
主人	zhu3ren2	noun 1 master 人民應當是國家的真正主人。 rénmín yīngdāng shì guójiā de zhēnzhèng zhǔrén. The people should be the real masters of the country. 2 host (opp. 客人) 女主人 nǚzhǔrén hostess 3 owner 房子的主人 fángzi de zhǔrén owner of the house
相處	xiang1chu3	verb get along (with one another) 相處得很好 xiāngchǔ de hěn hǎo get on well with each other 不好相處 Bù hǎo xiāngchǔ difficult to get along with 我們相處時間不長, 但已經結下了深厚的友誼。 Wǒmen xiāngchǔ shíjiān bù cháng, dàn yǐjing jiéxià le shēnhòu de yǒuyì. We’ve not known each other long, but we are already close friends.
生	sheng1	verb 1 give birth to; bear; generate 生蛋 shēng dàn lay eggs 生孩子 shēng háizi give birth to a child 2 be born; come into existence (opp. 死) 生我者父母, 知我者足下。 shēng wǒ zhě fùmǔ, zhī wǒ zhě zúxià. My parents brought me up, but you alone have understood me. 3 grow 生根 shēnggēn take root; strike root 生芽 Shēng yá sprout 4 be afflicted with; get; have 生疑 shēngyí be suspicious 生凍瘡 shēng dòngchuāng get chilblains 生癤子 shēng jiēzi get boils 5 light (a fire) 生爐子 shēng lúzi light a stove  noun life; living 謀生 móushēng make a living 一生 yīshēng all one’s life 生的偉大, 死的光榮！ shēng de wěidà, sǐ de guāngróng! A great life, a glorious death!  adjective alive; living See 29868032生擒sheng1qin2生擒  adjective 1 unripe; green (opp. 熟) 生材 shēngcái green timber 生膠 shēngjiāo raw rubber; caoutchouc 生蘋果 shēng píngguǒ green apple 這些桃子還是生的。 Zhèxiē táozi hái shì shēng de. The peaches are not ripe yet. 2 raw; uncooked (opp. 熟) 生肉 shēngròu raw meat 生水 shēngshuǐ raw water 黃瓜可以生吃。 Huánggua kěyǐ shēng chī. Cucumbers can be eaten raw. 3 unprocessed; unrefined; crude (opp. 熟) See 29870848生石膏sheng1shi2gao1生石膏 4 unfamiliar; unacquainted; strange (opp. 熟) 剛到這裡, 工作還很生。 Gāng dào zhèlǐ, gōngzuò hái hěn shēng. I’ve only just come here. I’m still not familiar with the work. 5 stiff; mechanical See 29846784生湊sheng1cou4生湊  adverb [before certain words, indicating feeling or perception] very; much 生疼 shēngténg very painful  noun 1 pupil; student 留級生 liújí shēng pupil who is repeating the year’s work 優等生 yōuděngshēng top student 2 intellectual; scholar 書生 shūshēng intellectual; scholar 3 [noun suffix, in names of occupations or stations of persons] 醫生 yīshēng doctor 4 theater male role (one of the four main roles in traditional opera, the other three being 旦 dàn,凈 jìng, and 丑 chǒu; subdivided into 老生 lǎoshēng,小生 xiǎoshēng,武生 wǔshēng, etc.)  affix [added to certain adverbs] See 22440960好生hao3sheng1好生;35694336怎生zen3sheng1 怎生
寵物	chong3wu4	noun pet 寵物狗 chǒngwùgǒu pet dog 寵物貓 chǒngwù māo pet cat 養寵物 yǎng chǒngwù keep a pet 電子寵物 diànzǐ chǒngwù electronic pet 他把蛇當寵物養。 tā bǎ shé dāng chǒngwù yǎng. He keeps snakes as pets.
單身	dan1shen1	noun 1 unmarried; single 2 not be with one's family; live alone 單身在外 dānshēnzàiwài live alone away from home
醫院	yi1yuan4	noun hospital 兒童醫院 értóng yīyuàn children’s hospital 綜合性醫院 zōnghéxìng yīyuàn general hospital
意見	yi4jian4	noun 1 idea; view; opinion; suggestion 意見分歧 yìjian fēnqí have a difference (or divergence) of opinion; disagree 意見一致 yìjian yīzhì have identical views; be of one mind 交換意見 jiāohuàn yìjian exchange ideas (or views); compare notes 提出修改意見 tíchū xiūgǎi yìjian make suggestions for revision 傾聽群眾的意見 qīngtīng qúnzhòng de yìjian listen carefully to the views (or opinions) of the masses 2 objection; differing opinion; complaint 兩人鬧意見了。 liǎng rén nào yìjian le. The two are at odds with each other. 大家對你意見很大。 Dàjiā duì nǐ yìjian hěn dà. People have a lot of complaints about you. 有意見要拿到桌面上來。 Yǒu yìjian yào ná dào zhuōmiàn shàng lái. Those who differ should air their views openly. 我對這種做法很有意見。 Wǒ duì zhèzhǒng zuòfǎ hěn yǒu yìjian. I strongly object to this approach.
建立	jian4li4	verb build; establish; set up; found 建立功勛 jiànlì gōngxūn perform meritorious deeds 建立文件 jiànlì wénjiàn create a file (in a computer) 建立信心 jiànlì xìnxīn build up one’s confidence 建立伙伴關係 jiànlì huǒbàn guānxi establish partnership 建立統一戰線 jiànlì tǒngyī zhànxiàn form a united front 建立外交關係 jiànlì wàijiāo guānxi establish diplomatic relations 建立友好關係 jiànlì yǒuhǎo guānxi build friendly relations 建立農村根據地 jiànlì nóngcūn gēnjùdì build rural base areas 建立合作醫療制度 jiànlì hézuò yīliáo zhìdù set up (or institute) a cooperative medical service 建立風險與約束機製 jiànlì fēngxiǎn yǔ yuēshù jīzhì establish risk and discipline mechanisms 建立良好的公共秩序 jiànlì liánghǎo de gōnggòng zhìxù establish good public order 建立公正, 合理的國際政治經濟新秩序 jiànlì gōngzhèng, hélǐ de guójì zhèngzhì jīngjì xīn zhìxù build a fair and rational new international political and economic order
散步	san4//bu4	verb take a walk; go for a walk; go for a stroll 到公園去散步 dào gōngyuán qù sànbù go for a walk in the park
家庭	jia1ting2	noun family; household 家庭式 jiātíngshì (adjective) home; household 家庭悲劇 jiātíngbēijù domestic tragedy 家庭解體 jiātíng jiětǐ family disintegration 家庭破裂 jiātíng pòliè breakdown of a family 家庭團結 jiātíng tuánjié family solidarity 大家庭 dàjiātíng extended (or big) family 無子女家庭 wú zǐnǚ jiātíng conjugal family; DINK family 美滿幸福的家庭 měimǎn xìngfú de jiātíng happy family
真正	zhen1zheng4	adjective genuine; true; real 真正的朋友 zhēnzhèng de péngyou true friend 真正的吉林人參 zhēnzhèng de Jílín rénshēn genuine Jilin ginseng  adverb really; indeed 真正負起責任來 zhēnzhèng fù qǐ zérèn lái shoulder the responsibilities in earnest 真正領會文件的精神實質 zhēnzhèng lǐnghuì wénjiàn de jīngshén shízhì have a genuine grasp of the essence of the document 真正有力量的是人民。 Zhēnzhèng yǒu lìliang de shì rénmín. It’s the people who really have the strength. 這道菜真正美味。 zhè dào cài zhēnzhèng měiwèi. This dish is really delicious.
幸福	xing4fu2	noun happiness; well-being 人生的幸福 Rénshēng de xìngfú happiness of life 為人民謀幸福 wèi rénmín móu xìngfú work for the well-being of the people 祝你幸福。 Zhù nǐ xìngfú. I wish you happiness. 幸福是太多和太少之間的一站。 xìngfú shì tài duō hé tài shǎo zhījiān de yī zhàn. Happiness is a way station between too much and too little.  adjective happy 幸福的回憶 Xìngfú de huíyì happy memories
跌倒	die1dao3	verb fall; tumble 他滑了一下, 跌倒在地。 Tā huá le yīxià, diēdǎo zài dì. He slipped and fell. 在哪兒跌倒就從哪兒爬起來。 Zài nǎrdiēdǎo jiù cóng nǎr pá qǐlai. Pick yourself up from where you fell—correct your mistake where you made it.
當成	dang4cheng2	verb regard as; treat as; take for 我把蠟像當成真人了。 Wǒ bǎ làxiàng dàngchéng zhēnrén le. I took the wax figure as a real person.
忍不住	ren3bu5zhu4	can’t help doing sth.; cannot bear
// 3.7 - 2
多元	duo1yuan2	adjective multiple; pluralistic 多元大學 duōyuán dàxué multiversity; polyversity 多元經濟 duōyuán jīngjì pluralistic economy 多元社會 duōyuán shèhuì pluralistic society 多元思維 duōyuán sīwéi pluralistic thinking 多元文化 duō yuán wén huà multicultural; multiculturalism 多元政治 duōyuán zhèngzhì pluralistic politics
阿姨	a1yi2	noun 1 dialect mother's sister; aunt 2 [form of address for a woman of one's parents' generation] auntie 3 nursemaid in a family, or caregiver in a nursery school or kindergarten
先生	xian1sheng5	noun 1 teacher 要做人民的先生, 先做人民的學生。 Yào zuò rénmín de xiānsheng, xiān zuò rénmín de xuésheng. To be a teacher of the people, one must first be their pupil. 2 Mister (Mr); gentleman; sir 總統先生 Zǒngtǒng xiānsheng Mr President 女士們, 先生們！ Nǚshì men, xiānsheng men! Ladies and Gentlemen! 3 husband 她先生出差去了。 Tā xiānsheng chūchāi qù le. Her husband is away on business. 我先生不在家。 Wǒ xiānsheng bù zàijiā. My husband is out. 4 dialect doctor 5 dated [usu. after a profession] 算命先生 suànmìng xiānsheng fortune-teller 賬房先生 zhàngfángxiānsheng bookkeeper
下班	xia4//ban1	verb get off work; knock off (opp. 上班兒) 我們每天下午六點下班。 wǒmen měitiān xiàwǔ liù diǎn xiàbān. We knock off at six p.m. every weekday. or We finish work every day at 6 p.m..
改	gai3	verb 1 change; convert; transform 改髮型 gǎi fàxíng change one’s hair style 改主意 gǎi zhǔ yì change one’s mind 2 alter; revise; polish; modify 改文章 gǎi wénzhāng polish an article (or essay) 把大衣改短 bǎ dàyī gǎi duǎn have the coat shortened 這齣戲已經改了好多次了。 zhè chū xì yǐjinggǎi le hǎo duō cì le. The play has been revised many times. 3 correct; rectify; remedy; put right 改作業 gǎi zuòyè correct homework 4 switch over to (doing sth. else) 改種水稻 Gǎi zhòng shuǐdào switch over to growing rice
公公	gong1gong5	noun 1 husband's father; father-in-law 2 dialect father's father; (paternal) grandfather 3 dialect mother's father; (maternal) grandfather 4 [respectful term of address for an elderly man] grandpa; grandad 劉公公 Liú gōnggong Grandpa Liu 5 archaic form of address for a court eunuch
全	quan2	verb literary make complete; keep intact 兩全其美 liǎngquánqíměi satisfy both sides; satisfy rival claims  adjective 1 complete 全頻道 quánpíndào all-channel 資料收集得比較全。 Zīliào shōují de bǐjiào quán. The data collected is quite comprehensive. 這家鋪子貨物的品種很全。 Zhè jiā pùzi huòwù de pǐnzhǒng hěn quán. This store has a wide assortment of goods. 這套郵票全不全？ ——不全, 差一張。 Zhè tào yóupiào quán bù quán？ —— bù quán, chà yī zhāng. Is this set of stamps complete?—No, it’s one short. 2 whole; entire; full; total 全人類 quán rénlèi all mankind 全世界 quánshìjiè the whole world 全中國 quán Zhōngguó the whole of China; all over China 全(交響)曲共分四個樂章。 Quán (jiāo xiǎng) qū gòng fēn sì ge yuèzhāng. The symphony is in 4 movements.  adverb entirely; completely 全錯了 Quán cuò le completely wrong; all wrong 全無心肝 quánwúxīngān heartless 這事全怪我。 Zhè shì quán guài wǒ. It’s entirely (or all) my fault. 我們一家全去了。 Wǒmen yījiā quán qù le. My whole family went. 他們全不是南方人。 Tāmen quán bù shì nánfāng rén. None of them are Southerners. 他們不全是南方人。 Tāmen bù quán shì nánfāng rén. Not all of them are Southerners. 你把唱片全借給誰了？ Nǐ bǎ chàngpiān quán jiè gěi shuí le？ Who did you lend all the records to? 他講的話我全記下來了。 Tā jiǎng de huà wǒ quán jì xiàlai le. I took down all he said. 不論古典音樂還是現代音樂, 我全愛聽。 Bùlùn gǔdiǎn yīnyuè hái shì xiàndài yīnyuè, wǒ quán ài tīng. I like listening to every kind of music, classic or modern. 他全不顧妻子的反對, 每天要抽五包煙。 Tā quán bù gù qīzi de fǎnduì, měitiān yào chōu wǔ bāo yān. He completely ignored his wife’s objections and smoked 5 packs of cigarettes daily.  noun (Quán) a surname
靠	kao4	verb 1 lean 靠躺在椅上 kào tǎng zài yǐ shàng rest on a couch 背靠背 bèikàobèi back to back 2 lean against (or on) 把梯子靠在牆上。 Bǎ tīzi kào zài qiáng shàng Lean a ladder against a wall. 3 stand by the side of; get near; come up to; be near to; keep to 靠窗座位 kàochuāngzuòwèi window seat 療養院靠海。 Liáoyǎngyuàn kào hǎi. The sanatorium stands by the sea. 車輛一律靠右走。 Chēliàng yīlǜ kào yòu zǒu. All vehicles should keep to the right. 船已經靠碼頭了。 Chuán yǐjing kào mǎtou le. The ship has docked. 他已是靠五十的人了。 Tā yǐ shì kào wǔshí de rén le. He’s already close on fifty. 4 depend on; rely on 靠天吃飯 kàotiān-chīfàn live on the mercy of the elements 靠自己的汗水 kào zìjǐ de hànshuǐ by the sweat of one’s brow 萬物生長靠太陽。 wànwù shēngzhǎng kào tàiyáng. All living things depend on the sun for their growth. 他只能靠說謊過日子。 Tā zhǐnéng kào shuōhuǎng guò rìzi. He was reduced to depending on telling lies to get by! 他家裡靠他維持生活。 Tā jiālǐ kào tā wéichí shēnghuó. His family depended on him for support. 5 trust 可靠 kěkào trustworthy  noun theater (in traditional opera) stage armour (made of embroidered silk) 扎靠 Zhā kào wear stage armour
單親	dan1qin1	noun single-parent
貴族	gui4zu2	noun noble; aristocrat 貴族習氣 guìzú xíqì aristocratic ways 封建貴族 fēngjiàn guìzú feudal nobles 精神貴族 jīngshén guìzú intellectual elite
時代	shi2dai4	noun 1 times; age; era; epoch 電子時代 diànzǐ shídài age of electronics 封建時代 fēngjiàn shídài feudal times 開創一個新時代 kāichuàng yī ge xīn shídài usher in a new era 五四時代 Wǔ-Sì shídài days of the May 4 Movement 2 the times; our age; the day; the present era 時代感 shídàigǎn sense of the times 時代潮流 shídài cháoliú tendency of the day; trend of the times 時代的需要 shídài de xūyào needs of the times 時代精神 shídài jīngshén spirit of our age; spirit of the times; zeitgeist 跟上時代 gēn·shàng shídài keep abreast of the times; keep up with the times 反映時代的面貌 fǎnyìng shídài de miànmào reflect the features of our age 3 period in one's life 從青年時代到老年時代 cóng qīngnián shídài dào lǎonián shídài from youth to old age
